krs,status_code,error,name_discovery,source_codes
0000018288,204,not_found_or_deregistered,"""ACODE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000143728,204,not_found_or_deregistered,"""AGATA & EMILIA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000168336,204,not_found_or_deregistered,"""ADAMOWSKI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000264348,204,not_found_or_deregistered,"""A & M PARTNERS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000308957,204,not_found_or_deregistered,"""ABLUX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000341216,204,not_found_or_deregistered,"""ABAS INWESTYCJE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA""",16.10.Z:main
0000349663,204,not_found_or_deregistered,"""A. KARBOWNIK LOGISTICS"" SPÓŁKA JAWNA",16.10.Z:main
0000351652,204,not_found_or_deregistered,"""AD"" LASKOWSKI, MATELA SPÓŁKA JAWNA",16.10.Z:main
0000391530,204,not_found_or_deregistered,"""24/7"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000405378,204,not_found_or_deregistered,"""4 KOLORY IDEA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"" SPÓŁKA KOMANDYTOWO-AKCYJNA",16.10.Z:main
0000416335,204,not_found_or_deregistered,"""ACTIO PLUS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000420412,204,not_found_or_deregistered,"""2L"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000422945,204,not_found_or_deregistered,"""3D BTL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""",16.10.Z:main
0000493027,204,not_found_or_deregistered,"""ADRAN"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
