krs,status_code,error,name_discovery,source_codes
0000003812,204,not_found_or_deregistered,"""STEINPOL OK PRODUKCJA MEBLI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000004115,204,not_found_or_deregistered,"""ICM MEBLE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000005702,204,not_found_or_deregistered,"""M-S M.BUKOWIAN I INNI"" SPÓŁKA JAWNA",16.10.Z:main
0000007797,204,not_found_or_deregistered,"""GRAND CRU"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000008535,204,not_found_or_deregistered,"""AKŚ-INVESTMENT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000009441,204,not_found_or_deregistered,"""EUROTOR"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000010906,204,not_found_or_deregistered,"""KARES"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000012512,204,not_found_or_deregistered,"""JUAN-J.SZAŁAŃSKI, A.WOŻNIAK"" SPÓŁKA JAWNA",16.10.Z:main
0000013853,204,not_found_or_deregistered,"""AMB"" BABST SPÓŁKA JAWNA",16.10.Z:main
0000015213,204,not_found_or_deregistered,"""ELEKTROMECHANIKA""SPÓŁKA JAWNA LESZEK I WOJCIECH SUDENIS",16.10.Z:main
0000015401,204,not_found_or_deregistered,"""PAGED"" SPÓŁKA AKCYJNA",16.10.Z:main
0000018288,204,not_found_or_deregistered,"""ACODE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000020569,204,not_found_or_deregistered,"""PIONKI-MEBLE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚĆIĄ",16.10.Z:main
0000020854,204,not_found_or_deregistered,"""LUBA' FIRMA HANDLOWA W.BIELA, J.MAŁECKI   SPÓŁKA JAWNA",16.10.Z:main
0000021923,204,not_found_or_deregistered,"""PORTA STYL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000023876,204,not_found_or_deregistered,"""ESPO"" EWA POWAŁA TADEUSZ OMASTA SŁAWOMIR POWAŁA SPÓŁKA JAWNA",16.10.Z:main
0000024211,204,not_found_or_deregistered,"""ELEKTROCIEPŁOWNIA MARCEL-REMONT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000027494,204,not_found_or_deregistered,"""ALUTECH""SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000029672,204,not_found_or_deregistered,"""BUDEX - SZYK"" R.PROKOP I SPÓŁKA - SPÓŁKA JAWNA",16.10.Z:main
0000029697,204,not_found_or_deregistered,"""EPO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000034783,204,not_found_or_deregistered,"""EKOPŁYTA"" SPÓŁKA AKCYJNA",16.10.Z:main
0000036559,204,not_found_or_deregistered,"""CPN SERWIS ZACHÓD""",16.10.Z:main
0000037100,204,not_found_or_deregistered,"""POLSKO KANADYJSKIE PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWE PROGRESS INTERNATIONAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""",16.10.Z:main
0000037659,204,not_found_or_deregistered,"""RAJ"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000039649,204,not_found_or_deregistered,"""COMTRANS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000040905,204,not_found_or_deregistered,"""GŁADYSZ"" ZAKŁAD REMONTOWO - BUDOWLANY GŁADYSZ GRZEGORZ, GŁADYSZ LUDMIŁA SPÓŁKA JAWNA",16.10.Z:main
0000043028,204,not_found_or_deregistered,"""KOŁBON"" SPÓŁKA JAWNA ANTONI KOŁBON TADEUSZ KOŁBON",16.10.Z:main
0000043762,204,not_found_or_deregistered,"""DREHABUD"" KRUSZLIŃSKA, HINC SPÓŁKA JAWNA",16.10.Z:main
0000044173,204,not_found_or_deregistered,"""DREWEXIM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000048123,204,not_found_or_deregistered,"""PREFABET-SPÓŁKA AKCYJNA""",16.10.Z:main
0000048501,204,not_found_or_deregistered,"""INCOM""SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000048653,204,not_found_or_deregistered,"""BIO-ENERGIA ESP"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000053160,204,not_found_or_deregistered,"""BUDO-TRANS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000055115,204,not_found_or_deregistered,"""PRESCOTT INVESTMENT GROUP"" SPÓŁKA AKCYJNA",16.10.Z:main
0000057175,204,not_found_or_deregistered,"""M.G.IMPEX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000059202,204,not_found_or_deregistered,"""PRZEDSIĘBIORSTWO AMB"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000061670,204,not_found_or_deregistered,"""PIAS-TAR"" JURGA, PRAŁAT SPÓŁKA JAWNA",16.10.Z:main
0000061924,204,not_found_or_deregistered,"""MD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000064416,204,not_found_or_deregistered,"""MARKET - S & T"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000064708,204,not_found_or_deregistered,"""RWL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000065255,204,not_found_or_deregistered,"""MEDRE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000065718,204,not_found_or_deregistered,"""AUTO ELEKTRONIK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000071280,204,not_found_or_deregistered,"""G&J ECOLOGY POLSKA"" - SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000073167,204,not_found_or_deregistered,"""EXWOOD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000074694,204,not_found_or_deregistered,"""ENERGOMONTAŻ-PÓŁNOC SERWIS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000075338,204,not_found_or_deregistered,"""CERTUS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000075896,204,not_found_or_deregistered,"""GREENFARM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000076681,204,not_found_or_deregistered,"""DREWMARCO"" SPÓŁKA JAWNA MARCINIAK - BIELIŃSKI - SAKOWICZ",16.10.Z:main
0000076722,204,not_found_or_deregistered,"""KOMANDOR-OPOLE"" SPÓŁKA AKCYJNA",16.10.Z:main
0000077079,204,not_found_or_deregistered,"""MILA * PLUS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000078062,204,not_found_or_deregistered,"""MONT-STAL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000078333,204,not_found_or_deregistered,"""PRZEDSIĘBIORSTWO BUDOWLANO-HANDLOWE ARKOP KRZYSZTOF PIANOWSKI I S-KA SPÓŁKA JAWNA""",16.10.Z:main
0000078966,204,not_found_or_deregistered,"""POOLWOOD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000079335,204,not_found_or_deregistered,"""PRZEDSIĘBIORSTWO BIAŁA MARIANNA - RAKOWIECKI, PTASZEK - SPÓŁKA JAWNA""",16.10.Z:main
0000080502,204,not_found_or_deregistered,"""S-L"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWE W LIKWIDACJI",16.10.Z:main
0000080577,204,not_found_or_deregistered,"""GREIS - A"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000080793,204,not_found_or_deregistered,"""DEKO POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000081063,204,not_found_or_deregistered,"""KACZKAN"" ZAKŁAD PRODUKCJI DRZEWNEJ IMPORT-EXPORT JÓZEF I HENRYK KACZKAN SPÓŁKA JAWNA",16.10.Z:main
0000081426,204,not_found_or_deregistered,"""ELTRAF"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000083035,204,not_found_or_deregistered,"""BNA POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000083067,204,not_found_or_deregistered,"""KOMANDOR ŁÓDŹ"" SPÓŁKA AKCYJNA",16.10.Z:main
0000083616,204,not_found_or_deregistered,"""SPITI"" - FALIGOWSKI SPÓŁKA JAWNA",16.10.Z:main
0000083765,204,not_found_or_deregistered,"""OROPOL-OLSZTYN"" SPÓŁKA JAWNA ŻYCKI WŁADYSŁAW",16.10.Z:main
0000084648,204,not_found_or_deregistered,"""JAWA"" SPÓŁKA Z OGRANICZONĄ OPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000085949,204,not_found_or_deregistered,"""DREWGÓR"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000086823,204,not_found_or_deregistered,"""ROKA I"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000087091,204,not_found_or_deregistered,"""BIECZDREW"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000090814,204,not_found_or_deregistered,"""AGROEST"" JAROSZEWSKI, JUREWICZ SPÓŁKA JAWNA",16.10.Z:main
0000090920,204,not_found_or_deregistered,"""MULTICO - PRIMA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000091460,204,not_found_or_deregistered,"""NOVO-DESIGN"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000091512,204,not_found_or_deregistered,"""KORPORACJA LEXUS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000092666,204,not_found_or_deregistered,"""SCAN FORUM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000093791,204,not_found_or_deregistered,"""COLINT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000096023,204,not_found_or_deregistered,"""BUDREW""-SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000096320,204,not_found_or_deregistered,"""BIURO MARKETINGOWO-HANDLOWE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000098556,204,not_found_or_deregistered,"""EXITOS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000099034,204,not_found_or_deregistered,"""DZIEDZIC"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000099198,204,not_found_or_deregistered,"""BUD - ROL - SUR"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000100376,204,not_found_or_deregistered,"""REAL MANAGEMENT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000101651,204,not_found_or_deregistered,"""POLRYZA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000101669,204,not_found_or_deregistered,"""ALFA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000101728,204,not_found_or_deregistered,"""MATERIAŁY BUDOWLANE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000101771,204,not_found_or_deregistered,"""BUDWEST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000103593,204,not_found_or_deregistered,"""SERWIS-ERG"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000106159,204,not_found_or_deregistered,"""PRZEDSIĘBIORSTWO USŁUGOWO HANDLOWE LUX JANINA I BOGUSŁAW LEJMAN SPÓŁKA JAWNA""",16.10.Z:main
0000106437,204,not_found_or_deregistered,"""MAZOWIECKA FABRYKA OKIEN I DRZWI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000106865,204,not_found_or_deregistered,"""PAMAR"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000108576,204,not_found_or_deregistered,"""DREWNO PLUS M.NOWOCIEŃ I R.SOKOŁOWSKI SPÓŁKA JAWNA""",16.10.Z:main
0000109136,204,not_found_or_deregistered,"""GABI MEBLE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000111845,204,not_found_or_deregistered,"""PETRO-WIGOR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""",16.10.Z:main
0000112591,204,not_found_or_deregistered,"""FKW LOGISTIC"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000113746,204,not_found_or_deregistered,"""ROL-AND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000114972,204,not_found_or_deregistered,"""BPL POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000115420,204,not_found_or_deregistered,"""PAGED"" ZAKŁAD DRZEWNY W SŁUPSKU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000116866,204,not_found_or_deregistered,"""KROJCIG MEBEL JOINT VENTURE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000117307,204,not_found_or_deregistered,"""AWG-POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI",16.10.Z:main
0000118376,204,not_found_or_deregistered,"""LUBO - IMPREGNACJA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000121640,204,not_found_or_deregistered,"""HOLZINDUSTRIE DOBIEGNIEW MANAGEMENT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000122160,204,not_found_or_deregistered,"""PRYMAS"" SPÓŁKA JAWNA ALICJA, KRZYSZTOF PRYMAS",16.10.Z:main
0000124763,204,not_found_or_deregistered,"""KLEOPATRA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000125401,204,not_found_or_deregistered,"""KOST-BET"" ZYGMUNT MATYJA, KRZYSZTOF MATYJA, PAWEŁ MATYJA SPÓŁKA JAWNA",16.10.Z:main
0000126874,204,not_found_or_deregistered,"""EKO-BESTAR"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000128150,204,not_found_or_deregistered,"""RHEBA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000129241,204,not_found_or_deregistered,"""BOGENA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000131607,204,not_found_or_deregistered,"""FERME DE SOLBECQ"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000131645,204,not_found_or_deregistered,"""DOLZAMET-ERGOLABUS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000131750,204,not_found_or_deregistered,"""NOR - BIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""",16.10.Z:main
