krs,status_code,error,name_discovery,source_codes
0000001207,204,not_found_or_deregistered,TELEFONIA INTERNETOWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000001750,204,not_found_or_deregistered,"OŚRODEK PRZEMYSŁOWO-BADAWCZY URZĄDZEŃ TECHNOLOGICZNYCH ""KOLPOL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000002566,204,not_found_or_deregistered,PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWE PROFIL STYLE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000002683,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO BUDOWLANO -USŁUGOWO-HANDLOWE ""AGAT"" SPÓŁKA Z O.O.",16.10.Z:main
0000003470,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""FOLWEX"" EXPORT IMPORT ANDRZEJ KALINOWSKI KAZIMIERZ SOBOLEWSKI SPÓŁKA JAWNA",16.10.Z:main
0000003812,204,not_found_or_deregistered,"""STEINPOL OK PRODUKCJA MEBLI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000004115,204,not_found_or_deregistered,"""ICM MEBLE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000004291,204,not_found_or_deregistered,IMEX-PIECHOTA SP. Z O.O.,16.10.Z:main
0000004310,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""GRANBUD"" GRZEGORZ, MAŁGORZATA, KRZYSZTOF, MARIA CZAPCZYK SPÓŁKA JAWNA",16.10.Z:main
0000004931,204,not_found_or_deregistered,WALCZAK SPÓŁKA JAWNA,16.10.Z:main
0000004974,204,not_found_or_deregistered,KULCZYK TRADEX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000005368,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWE ""TURBUD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000005378,204,not_found_or_deregistered,CEZOS Z.JANKOWSKA C.SKOTAK SPÓŁKA JAWNA,16.10.Z:main
0000005702,204,not_found_or_deregistered,"""M-S M.BUKOWIAN I INNI"" SPÓŁKA JAWNA",16.10.Z:main
0000006029,204,not_found_or_deregistered,"ZAKŁAD WYROBU OKLEIN NATURALNYCH ""BRACIA MROZIK"" SPÓŁKA JAWNA W LUBLINIE",16.10.Z:main
0000006068,204,not_found_or_deregistered,"HOTEL ""SPORT HOTEL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000006300,204,not_found_or_deregistered,"HANDEL-USŁUGI ""BAZI"" K. SADOWSKI, W. SZYMAŃSKI SPÓŁKA JAWNA",16.10.Z:main
0000006410,204,not_found_or_deregistered,LESKO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000006576,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""MAT-BUD"" B.PIETRAS,E.PIETRAS SPÓŁKA JAWNA",16.10.Z:main
0000006681,204,not_found_or_deregistered,PRZEDSIĘBIORSTWO BEGIER HENRYK BEGIER I SYNOWIE SPÓŁKA JAWNA,16.10.Z:main
0000006799,204,not_found_or_deregistered,KRONOSPAN PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000006850,204,not_found_or_deregistered,"ZAKŁADY DRZEWNE ""TIS"" ANTONI SZWED SPÓŁKA JAWNA",16.10.Z:main
0000006903,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO PRODUKCYJNO USŁUGOWO HANDLOWE
K@K SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000007062,204,not_found_or_deregistered,MORSKA STOCZNIA REMONTOWA SPÓŁKA AKCYJNA,16.10.Z:main
0000007601,204,not_found_or_deregistered,HADA - GLAS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000007651,204,not_found_or_deregistered,ARHELAN BURZYŃSCY SPÓŁKA JAWNA,16.10.Z:main
0000007797,204,not_found_or_deregistered,"""GRAND CRU"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000008535,204,not_found_or_deregistered,"""AKŚ-INVESTMENT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000009441,204,not_found_or_deregistered,"""EUROTOR"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000009843,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""RYNTEX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000009894,204,not_found_or_deregistered,"NATURA A. BISZCZANIK, A. BISZCZANIK, M. BISZCZANIK, S. BISZCZANIK SPÓŁKA JAWNA",16.10.Z:main
0000009940,204,not_found_or_deregistered,SPÓŁDZIELNIA USŁUG ROLNICZYCH,16.10.Z:main
0000010906,204,not_found_or_deregistered,"""KARES"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
