krs,name,nip,regon,legal_form,register,registration_date,last_entry_date,as_of,status_from_discovery,voivodeship,county,municipality,city,street,building_no,unit_no,postal_code,post_office,pkd_main,pkd_other,pkd_matches,pkd_match_types,pkd_descriptions,share_capital,share_capital_currency
0000026898,"""ABAK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI",6690503577,33008319200000,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,12.07.2001,03.07.2026,03.07.2026,LIQUIDATION,,,,KOSZALIN,UL. ALEJA MONTE CASSINO,6,,75-412,KOSZALIN,16.10.Z,46.69.Z; 46.66.Z; 41.20.Z; 46.90.Z; 47.19.Z; 22.29.Z; 96.09.Z; 73.11.Z,16.10.Z,przeważające,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '4000,00', 'waluta': 'PLN'}",
0000074115,ABS-SERVICE AND WOOD PRODUCTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,7393264388,51143158100000,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,19.12.2001,14.04.2022,21.11.2025,ACTIVE,,,,NATERKI,GOLFOWA,34,,10-034,GIETRZWAŁD,,02.10.Z; 02.20.Z; 02.30.Z; 02.40.Z; 16.10.Z; 16.21.Z; 16.22.Z; 16.23.Z; 16.24.Z; 16.29.Z; 31.01.Z; 31.02.Z; 31.03.Z; 31.09.Z; 41.10.Z; 41.20.Z; 43.21.Z; 43.22.Z; 43.29.Z; 43.31.Z; 43.32.Z; 43.33.Z; 43.34.Z; 43.39.Z; 43.91.Z; 43.99.Z; 46.11.Z; 46.12.Z; 46.13.Z; 46.14.Z; 46.15.Z; 46.16.Z; 46.17.Z; 46.18.Z; 46.19.Z; 46.21.Z; 46.22.Z; 46.23.Z; 46.24.Z; 46.31.Z; 46.32.Z; 46.33.Z; 46.34.A; 46.34.B; 46.35.Z; 46.36.Z; 46.37.Z; 46.38.Z; 46.39.Z; 46.41.Z; 46.42.Z; 46.43.Z; 46.44.Z; 46.45.Z; 46.46.Z; 46.47.Z; 46.48.Z; 46.49.Z; 46.51.Z; 46.52.Z; 46.61.Z; 46.62.Z; 46.63.Z; 46.64.Z; 46.65.Z; 46.66.Z; 46.69.Z; 46.71.Z; 46.72.Z; 46.73.Z; 46.74.Z; 46.75.Z; 46.76.Z; 46.77.Z; 46.90.Z; 47.11.Z; 47.19.Z; 47.21.Z; 47.22.Z; 47.23.Z; 47.24.Z; 47.25.Z; 47.26.Z; 47.29.Z; 47.30.Z; 47.41.Z; 47.42.Z; 47.43.Z; 47.51.Z; 47.52.Z; 47.53.Z; 47.54.Z; 47.59.Z; 47.61.Z; 47.62.Z; 47.63.Z; 47.64.Z; 47.65.Z; 47.71.Z; 47.72.Z; 47.73.Z; 47.74.Z; 47.75.Z; 47.76.Z; 47.77.Z; 47.78.Z; 47.79.Z; 47.81.Z; 47.82.Z; 47.89.Z; 47.91.Z; 47.99.Z; 49.10.Z; 49.20.Z; 49.31.Z; 49.32.Z; 49.39.Z; 49.41.Z; 49.42.Z; 49.50.A; 49.50.B; 52.10.A; 52.10.B; 52.21.Z; 52.22.A; 52.22.B; 52.23.Z; 52.24.A; 52.24.B; 52.24.C; 52.29.A; 52.29.B; 52.29.C; 55.10.Z; 55.20.Z; 55.30.Z; 55.90.Z; 56.10.A; 56.10.B; 56.21.Z; 56.29.Z; 56.30.Z; 68.10.Z; 68.20.Z; 68.31.Z; 68.32.Z; 73.11.Z; 73.12.A; 73.12.B; 73.12.C; 73.12.D; 77.11.Z; 77.12.Z; 77.21.Z; 77.22.Z; 77.29.Z; 77.31.Z; 77.32.Z; 77.33.Z; 77.34.Z; 77.35.Z; 77.39.Z; 77.40.Z; 82.11.Z; 82.19.Z; 82.20.Z; 82.30.Z; 82.91.Z; 82.92.Z; 82.99.Z; 94.11.Z; 94.12.Z; 94.20.Z; 94.91.Z; 94.92.Z; 94.99.Z; 97.00.Z; 98.10.Z; 98.20.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '6100000,00', 'waluta': 'PLN'}",
0000089763,"""AB"" DOROSZ, UŚCIŃSKI SPÓŁKA JAWNA",1250950335,01482800100000,SPÓŁKA JAWNA,RejP,11.02.2002,29.01.2026,21.02.2026,ACTIVE,,,,ZĄBKI,11-GO LISTOPADA,53,,05-091,ZĄBKI,70.22.Z,01.49.Z; 03.22.Z; 10.92.Z; 16.10.Z; 46.21.Z; 46.22.Z; 46.23.Z; 46.38.Z; 46.42.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,,
0000096241,""" GASTRONOM - MIKUŁA "" SPÓŁKA JAWNA",8450007561,79008183100000,SPÓŁKA JAWNA,RejP,01.03.2002,13.07.2026,13.07.2026,ACTIVE,,,,KRUKLANKI,22 LIPCA,15,,11-612,KRUKLANKI,56.10.A,55.20.Z; 92.00.Z; 43.12.Z; 41.20.Z; 68.10.Z; 68.20.Z; 16.10.Z; 47.11.Z; 77.21.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,,
0000122232,"""AWO GLOBAL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI",5242435520,01520710000000,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,09.07.2002,29.04.2025,20.11.2025,LIQUIDATION,,,,WARSZAWA,WIERTNICZA,124,,02-952,WARSZAWA,45.11.Z,16.10.Z; 16.29.Z; 33.12.Z; 52.10.B; 96.09.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '500000,00', 'waluta': 'PLN'}",
0000257853,"""ADAMAR"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",7591655008,14052939600000,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,02.06.2006,27.05.2026,27.05.2026,ACTIVE,,,,PRZYJMY,,101,,07-308,PORĘBA,56.10.A,55.10.Z; 55.20.Z; 56.21.Z; 56.29.Z; 47.11.Z; 47.19.Z; 47.29.Z; 46.39.Z; 16.10.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '50000,00', 'waluta': 'PLN'}",
0000283609,"FRB FABRYKA MEBLI LASKOWSKI, POWIERZA SPÓŁKA JAWNA",7962790291,14104831600000,SPÓŁKA JAWNA,RejP,29.06.2007,27.05.2025,24.11.2025,ACTIVE,,,,WARSZAWA,UL. ALOJZEGO FELIŃSKIEGO,25,,01-555,WARSZAWA,31.01.Z,31.02.Z; 31.03.Z; 31.09.Z; 16.10.Z; 55.10.Z; 59.20.Z; 63.99.Z; 77.40.Z; 82.99.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,,
0000344296,CAROLCO INVESTMENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,7252020572,10085156800000,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,12.03.2010,01.04.2025,21.11.2025,ACTIVE,,,,ŁÓDŹ,UL. HENRYKA SIENKIEWICZA,85/87,8,90-057,ŁÓDŹ,,02.40.Z; 16.10.Z; 16.21.Z; 16.22.Z; 16.23.Z; 16.24.Z; 16.29.Z; 17.23.Z; 18.11.Z; 18.12.Z; 18.13.Z; 18.14.Z; 26.20.Z; 28.23.Z; 29.31.Z; 29.32.Z; 30.11.Z; 30.12.Z; 30.20.Z; 30.30.Z; 31.01.Z; 31.02.Z; 31.09.Z; 32.99.Z; 33.12.Z; 33.19.Z; 33.20.Z; 36.00.Z; 37.00.Z; 38.11.Z; 38.12.Z; 38.21.Z; 38.22.Z; 38.31.Z; 38.32.Z; 39.00.Z; 41.10.Z; 41.20.Z; 42.11.Z; 42.12.Z; 42.13.Z; 42.21.Z; 42.22.Z; 42.91.Z; 42.99.Z; 43.31.Z; 43.32.Z; 43.33.Z; 43.34.Z; 43.39.Z; 43.91.Z; 43.99.Z; 45.11.Z; 45.19.Z; 45.20.Z; 45.31.Z; 45.32.Z; 45.40.Z; 46.13.Z; 46.15.Z; 46.18.Z; 46.19.Z; 46.37.Z; 46.43.Z; 46.47.Z; 46.49.Z; 46.52.Z; 46.73.Z; 47.41.Z; 47.42.Z; 47.43.Z; 47.53.Z; 47.54.Z; 47.59.Z; 47.63.Z; 47.79.Z; 47.81.Z; 47.82.Z; 47.89.Z; 47.91.Z; 47.99.Z; 49.10.Z; 49.20.Z; 49.31.Z; 49.32.Z; 49.39.Z; 49.41.Z; 49.42.Z; 52.10.B; 52.24.A; 52.24.B; 52.24.C; 58.11.Z; 58.12.Z; 58.13.Z; 58.14.Z; 58.19.Z; 58.21.Z; 58.29.Z; 59.20.Z; 60.10.Z; 60.20.Z; 62.01.Z; 62.02.Z; 62.03.Z; 62.09.Z; 63.11.Z; 63.12.Z; 68.10.Z; 68.20.Z; 68.31.Z; 68.32.Z; 69.10.Z; 69.20.Z; 70.10.Z; 70.21.Z; 70.22.Z; 71.11.Z; 71.12.Z; 71.20.A; 71.20.B; 72.11.Z; 72.19.Z; 72.20.Z; 73.11.Z; 73.12.A; 73.12.B; 73.12.C; 73.12.D; 73.20.Z; 74.10.Z; 74.20.Z; 74.30.Z; 74.90.Z; 77.11.Z; 77.12.Z; 77.33.Z; 81.10.Z; 81.21.Z; 81.22.Z; 81.29.Z; 81.30.Z; 82.11.Z; 82.19.Z; 82.30.Z; 82.91.Z; 82.92.Z; 82.99.Z; 85.60.Z; 92.00.Z; 95.11.Z; 95.12.Z; 95.21.Z; 95.22.Z; 95.24.Z; 47.64.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '100000,00', 'waluta': 'PLN'}",
0000390011,"""ADDAC INVESTMENTS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",8943027028,02155353000000,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,22.06.2011,10.05.2022,21.11.2025,ACTIVE,,,,WROCŁAW,RĘDZIŃSKA,47-49,,54-106,WROCŁAW,,02.20.Z; 03.22.Z; 08.11.Z; 08.12.Z; 08.92.Z; 09.10.Z; 09.90.Z; 10.13.Z; 10.51.Z; 10.52.Z; 10.71.Z; 10.72.Z; 10.73.Z; 10.84.Z; 10.85.Z; 14.11.Z; 14.12.Z; 14.13.Z; 16.10.Z; 16.23.Z; 33.11.Z; 33.12.Z; 33.13.Z; 33.14.Z; 33.15.Z; 33.16.Z; 33.17.Z; 33.19.Z; 33.20.Z; 35.22.Z; 35.23.Z; 38.11.Z; 38.12.Z; 38.21.Z; 38.22.Z; 38.31.Z; 38.32.Z; 39.00.Z; 41.10.Z; 41.20.Z; 42.11.Z; 42.12.Z; 42.13.Z; 42.21.Z; 42.22.Z; 43.11.Z; 43.12.Z; 43.13.Z; 43.21.Z; 43.22.Z; 43.29.Z; 43.31.Z; 43.32.Z; 43.33.Z; 43.34.Z; 43.39.Z; 43.91.Z; 43.99.Z; 45.11.Z; 45.19.Z; 45.20.Z; 45.31.Z; 45.32.Z; 45.40.Z; 46.11.Z; 46.12.Z; 46.13.Z; 46.14.Z; 46.15.Z; 46.16.Z; 46.17.Z; 46.18.Z; 46.19.Z; 47.11.Z; 47.19.Z; 47.21.Z; 47.22.Z; 47.23.Z; 47.24.Z; 47.25.Z; 47.26.Z; 47.29.Z; 47.30.Z; 47.41.Z; 47.42.Z; 47.43.Z; 47.51.Z; 47.52.Z; 47.53.Z; 47.54.Z; 47.59.Z; 47.61.Z; 47.62.Z; 47.63.Z; 47.64.Z; 47.65.Z; 47.71.Z; 47.72.Z; 47.73.Z; 47.74.Z; 47.75.Z; 47.76.Z; 47.77.Z; 47.78.Z; 47.79.Z; 47.81.Z; 47.82.Z; 47.89.Z; 47.91.Z; 47.99.Z; 49.31.Z; 49.32.Z; 49.39.Z; 49.41.Z; 49.42.Z; 52.10.A; 52.10.B; 52.21.Z; 52.24.C; 52.29.B; 52.29.C; 53.20.Z; 55.10.Z; 55.20.Z; 55.30.Z; 55.90.Z; 56.10.A; 56.10.B; 56.21.Z; 56.29.Z; 56.30.Z; 58.12.Z; 58.13.Z; 58.14.Z; 58.29.Z; 59.11.Z; 59.12.Z; 59.13.Z; 60.10.Z; 61.10.Z; 61.20.Z; 61.90.Z; 62.01.Z; 62.02.Z; 62.03.Z; 62.09.Z; 63.11.Z; 63.12.Z; 63.91.Z; 63.99.Z; 64.19.Z; 64.91.Z; 64.92.Z; 64.99.Z; 66.21.Z; 66.22.Z; 68.10.Z; 68.20.Z; 68.31.Z; 68.32.Z; 69.20.Z; 73.11.Z; 73.12.A; 73.12.B; 73.12.C; 73.12.D; 74.20.Z; 74.30.Z; 77.11.Z; 77.12.Z; 77.21.Z; 77.22.Z; 77.29.Z; 77.31.Z; 77.32.Z; 77.33.Z; 77.34.Z; 77.35.Z; 78.10.Z; 78.20.Z; 78.30.Z; 79.11.A; 79.11.B; 79.12.Z; 79.90.A; 79.90.B; 79.90.C; 80.10.Z; 80.20.Z; 80.30.Z; 81.10.Z; 81.21.Z; 81.22.Z; 81.29.Z; 81.30.Z; 82.11.Z; 82.19.Z; 82.20.Z; 82.30.Z; 82.91.Z; 82.92.Z; 82.99.Z; 85.59.A; 85.59.B; 85.60.Z; 87.10.Z; 87.20.Z; 87.30.Z; 87.90.Z; 88.10.Z; 88.91.Z; 88.99.Z; 95.11.Z; 95.12.Z; 95.21.Z; 95.22.Z; 96.01.Z; 96.02.Z; 96.04.Z; 96.09.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '5000,00', 'waluta': 'PLN'}",
0000432880,"""EUREKO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",7322170504,10146940500000,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,12.09.2012,01.05.2026,01.05.2026,ACTIVE,,,,PABIANICE,UL. WARSZAWSKA,91,,95-200,PABIANICE,16.23.Z,38.32.Z; 38.11.Z; 38.21.Z; 16.10.Z; 43.91.Z; 46.73.Z; 52.10.B; 41.10.Z; 41.20.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '10000,00', 'waluta': 'PLN'}",
