krs,name,nip,regon,legal_form,register,registration_date,last_entry_date,as_of,status_from_discovery,voivodeship,county,municipality,city,street,building_no,unit_no,postal_code,post_office,pkd_main,pkd_other,pkd_matches,pkd_match_types,pkd_descriptions,share_capital,share_capital_currency
0000002897,FILARS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,8321885940,73149685400000,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,23.03.2001,08.12.2017,20.11.2025,ACTIVE,,,,WARSZAWA,UL. MAZOWIECKA,11,49,00-052,WARSZAWA,49.41.Z,49.39.Z; 46.73.Z; 45.19.Z; 45.11.Z; 41.20.Z; 16.10.Z; 46.77.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '41000,00', 'waluta': 'PLN'}",
0000004278,"""POLDOOR"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ.",7542685096,53218160400000,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,23.03.2001,08.04.2026,08.04.2026,ACTIVE,,,,OPOLE,BUDOWLANYCH,101A,,45-005,OPOLE,16.11.Z,16.21.Z; 16.22.Z; 16.23.Z; 43.32.Z; 43.91.Z; 16.24.Z; 33.19.Z; 16.29.Z; 68.32.Z,16.11.Z,przeważające,16.11.Z: PKD 2025 - Produkcja wyrobów tartacznych,"{'wartosc': '60000,00', 'waluta': 'PLN'}",
0000004710,"""MIPODREX"" BURACZYŃSKI I MICHALAK SPÓŁKA JAWNA",7560006734,53050577000000,SPÓŁKA JAWNA,RejP,26.03.2001,02.11.2025,21.02.2026,ACTIVE,,,,KOLONOWSKIE,UL. LIPOWA,4,,47-113,KOLONOWSKIE,16.10.Z,16.23.Z; 16.29.Z; 43.32.Z; 43.91.Z; 46.73.Z; 49.41.Z; 77.12.Z; 46.76.Z; 16.24.Z,16.10.Z,przeważające,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,,
0000004860,"""FORNIR INWEST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",6181930087,25144221000000,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,28.03.2001,05.02.2026,06.02.2026,ACTIVE,,,,KALISZ,,8,,62-800,KALISZ,16.10.Z,,16.10.Z,przeważające,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '50000,00', 'waluta': 'PLN'}",
0000006361,"""IMPEXZŁOM"" SPÓŁKA JAWNA J. GUL & U. A. STANKIEWICZ ZAKŁAD PRACY CHRONIONEJ W UPADŁOŚCI LIKWIDACYJNEJ",6610200812,29023443400000,SPÓŁKA JAWNA,RejP,05.04.2001,30.03.2026,30.03.2026,ACTIVE,,,,OSTROWIEC ŚWIĘTOKRZYSKI,SAMSONOWICZA,15,,27-400,OSTROWIEC ŚWIĘTOKRZYSKI,16.10.Z,46.73.Z; 24.41.Z; 24.45.Z,16.10.Z,przeważające,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,,
0000006755,"""PAKON"" KWIATKOWSKI I SPÓŁKA - SPÓŁKA JAWNA",6390001854,27054303300000,SPÓŁKA JAWNA,RejP,09.04.2001,15.06.2026,15.06.2026,ACTIVE,,,,RACIBÓRZ,UL. STALOWA,4,,47-400,RACIBÓRZ,46.90.Z,16.10.Z; 16.24.Z; 68.20.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,,
0000009445,"""MB MEBLE BARCZEWO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",7391033093,51036198000000,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,30.04.2001,27.03.2026,27.03.2026,ACTIVE,,,,BARCZEWSKI DWÓR,BARCZEWSKI DWÓR,7,,11-010,BARCZEWO,31.09.Z,16.10.Z; 16.29.Z; 46.13.Z; 46.15.Z; 46.47.Z; 46.90.Z; 47.19.Z; 47.99.Z; 49.41.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '2577200,00', 'waluta': 'PLN'}",
0000010478,PAGED PLYWOOD SPÓŁKA AKCYJNA,7411378488,51044556900000,SPÓŁKA AKCYJNA,RejP,27.04.2001,25.08.2026,25.08.2026,ACTIVE,,,,MORĄG,MAZURSKA,1,,14-300,MORĄG,16.21.Z,16.23.Z; 16.24.Z; 16.29.Z; 46.13.Z; 46.73.Z; 16.10.Z; 02.20.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '290610050,00', 'waluta': 'PLN'}",
0000012116,ORDOM ENERGIA - A. OPŁATEK SPÓŁKA JAWNA,6681704684,31107953500000,SPÓŁKA JAWNA,RejP,17.05.2001,29.04.2026,29.04.2026,ACTIVE,,,,TUREK,KALISKA,96,,62-700,TUREK,16.10.Z,,16.10.Z,przeważające,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,,
0000012170,"""CENTRUM DYSTRYBUCJI I OBRÓBKI DREWNA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",7421967074,51137629600000,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,15.05.2001,24.06.2026,24.06.2026,ACTIVE,,,,KOLONIA,,106,,12-140,ŚWIĘTAJNO,16.10.Z,16.21.Z; 16.22.Z; 16.23.Z,16.10.Z,przeważające,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '5000000,00', 'waluta': 'PLN'}",
